学名,x,y,日期,地址,数量,目,科,种,保护级别
Mergus merganser ,112.845211,34.8101389,2025/11/28,巩义,12,雁形目,鸭科,普通秋沙鸭,
Mergus merganser ,112.845211,34.8101389,2025/12/10,巩义,6,雁形目,鸭科,普通秋沙鸭,
Mergus merganser ,112.845211,34.8101389,2025/12/22,巩义,14,雁形目,鸭科,普通秋沙鸭,
"Phalacrocorax carbo 
",112.845211,34.8101389,2025/10/17,巩义,25,鲣鸟目,鸬鹚科,普通鸬鹚,
"Phalacrocorax carbo 
",112.845211,34.8101389,2025/11/13,巩义,26,鲣鸟目,鸬鹚科,普通鸬鹚,
"Phalacrocorax carbo 
",112.845211,34.8101389,2025/12/17,巩义,58,鲣鸟目,鸬鹚科,普通鸬鹚,
"Phalacrocorax carbo 
",112.845211,34.8101389,2025/12/22,巩义,43,鲣鸟目,鸬鹚科,普通鸬鹚,
"Phalacrocorax carbo 
",112.845211,34.8101389,2025/12/29,巩义,26,鲣鸟目,鸬鹚科,普通鸬鹚,
Pica pica ,112.845211,34.8101389,2025/11/28,巩义,30,雀形目,鸦科,喜鹊,
Platalea leucorodia,112.845211,34.8101389,2025/11/13,巩义,17,鹈形目,鹮科,白琵鹭,Ⅱ
Platalea leucorodia,112.845211,34.8101389,2025/12/5,巩义,26,鹈形目,鹮科,白琵鹭,Ⅱ
Platalea leucorodia,112.845211,34.8101389,2025/12/10,巩义,43,鹈形目,鹮科,白琵鹭,Ⅱ
Platalea leucorodia,112.845211,34.8101389,2025/12/29,巩义,17,鹈形目,鹮科,白琵鹭,Ⅱ
Podiceps ruficollis,112.845211,34.8101389,2025/10/17,巩义,4,䴙䴘目,䴙䴘科,小,
Tadorna ferruginea,112.845211,34.8101389,2025/10/17,巩义,80,雁形目,鸭科,赤麻鸭,
Tadorna ferruginea,112.845211,34.8101389,2025/11/13,巩义,200,雁形目,鸭科,赤麻鸭,
Tadorna ferruginea,112.845211,34.8101389,2025/11/18,巩义,200,雁形目,鸭科,赤麻鸭,
Tadorna ferruginea,112.845211,34.8101389,2025/11/28,巩义,500,雁形目,鸭科,赤麻鸭,
Tadorna ferruginea,112.845211,34.8101389,2025/12/5,巩义,300,雁形目,鸭科,赤麻鸭,
Tadorna ferruginea,112.845211,34.8101389,2025/12/17,巩义,200,雁形目,鸭科,赤麻鸭,
Tadorna ferruginea,112.845211,34.8101389,2025/12/22,巩义,600,雁形目,鸭科,赤麻鸭,
Tadorna ferruginea,112.845211,34.8101389,2025/12/29,巩义,80,雁形目,鸭科,赤麻鸭,
,112.845211,34.8101389,2025/11/13,巩义,2,鹈形目,鹭科,中白鹭,
,112.845211,34.8101389,2025/11/28,巩义,2,鹈形目,鹭科,中白鹭,
Botaurus stellaris ,113.1383443,34.83814641,2025/12/14,巩义水厂,1,鹈形目,鹭科,大麻鳽,
Circus  cyaneus  ,113.1383443,34.83814641,2025/12/14,巩义水厂,1,鹰形目,鹰科,白尾鹞,Ⅱ
Larus vegae,113.1383443,34.83814641,2025/12/14,巩义水厂,7,鸻形目,  鸥科,西伯利亚银鸥,
Mergus merganser ,113.1383443,34.83814641,2025/12/14,巩义水厂,3,雁形目,鸭科,普通秋沙鸭,
Phasianus colchicus ,113.1383443,34.83814641,2025/12/14,巩义水厂,26,鸡形目,雉科,环颈雉,
Accipiter nisus,113.2670689,34.90507921,2025/11/30,荥阳王村,1,鹰形目,鹰科,雀鹰,Ⅱ
Acridotheres cristatellus ,113.2670689,34.90507921,2025/10/16,荥阳王村,22,雀形目,椋鸟科,八哥,
Acridotheres cristatellus ,113.2670689,34.90507921,2025/11/30,荥阳王村,7,雀形目,椋鸟科,八哥,
Alauda arvensis ,113.2670689,34.90507921,2025/11/30,荥阳王村,10,雀形目,百灵科,云雀,Ⅱ
Anas platyrhynchos,113.2670689,34.90507921,2025/10/16,荥阳王村,19,雁形目,鸭科,绿头鸭,
Anser anser,113.2670689,34.90507921,2025/10/16,荥阳王村,1,雁形目,鸭科,灰雁,
Anthus hodgsoni ,113.2670689,34.90507921,2025/11/30,荥阳王村,2,雀形目,鹡鸰科,树鹨,
Anthus spinoletta ,113.2670689,34.90507921,2025/11/30,荥阳王村,1,雀形目,鹡鸰科,水鹨,
Ardea alba ,113.2670689,34.90507921,2025/10/16,荥阳王村,1,鹈形目,鹭科,大白鹭,
Ardea alba ,113.2670689,34.90507921,2025/11/30,荥阳王村,6,鹈形目,鹭科,大白鹭,
Ardea cinerea ,113.2670689,34.90507921,2025/10/16,荥阳王村,1,鹈形目,鹭科,苍鹭,
Ardea cinerea ,113.2670689,34.90507921,2025/11/30,荥阳王村,1,鹈形目,鹭科,苍鹭,
Ardeola bacchus ,113.2670689,34.90507921,2025/10/16,荥阳王村,1,鹈形目,鹭科,池鹭,
Buteo buteo ,113.2670689,34.90507921,2025/10/16,荥阳王村,1,鹰形目,鹰科,普通鵟,Ⅱ
Buteo buteo ,113.2670689,34.90507921,2025/11/30,荥阳王村,1,鹰形目,鹰科,普通鵟,Ⅱ
Buteo hemilasius,113.2670689,34.90507921,2025/11/30,荥阳王村,1,鹰形目,鹰科,大鵟,Ⅱ
Carduelis sinica ,113.2670689,34.90507921,2025/11/30,荥阳王村,1,雀形目,燕雀科,金翅雀,
Ciconia nigra ,113.2670689,34.90507921,2025/11/30,荥阳王村,1,鹳形目,鹳科,黑鹳,Ⅰ
Circus  cyaneus  ,113.2670689,34.90507921,2025/11/30,荥阳王村,5,鹰形目,鹰科,白尾鹞,Ⅱ
Circus melanoleucos,113.2670689,34.90507921,2025/10/16,荥阳王村,1,鹰形目,鹰科,鹊鹞,Ⅱ
Cyanopica cyanus ,113.2670689,34.90507921,2025/10/16,荥阳王村,31,雀形目,鸦科,灰喜鹊,
Cyanopica cyanus ,113.2670689,34.90507921,2025/11/30,荥阳王村,20,雀形目,鸦科,灰喜鹊,
Egretta garzetta ,113.2670689,34.90507921,2025/10/16,荥阳王村,7,鹈形目,鹭科,白鹭,
Egretta garzetta ,113.2670689,34.90507921,2025/11/30,荥阳王村,10,鹈形目,鹭科,白鹭,
Elanus caeruleus,113.2670689,34.90507921,2025/11/30,荥阳王村,1,鹰形目,鹰科,黑翅鸢,Ⅱ
Falco tinnunculus ,113.2670689,34.90507921,2025/10/16,荥阳王村,1,隼形目,  隼科,红隼,Ⅱ
Falco tinnunculus ,113.2670689,34.90507921,2025/11/30,荥阳王村,1,隼形目,  隼科,红隼,Ⅱ
Gallinula chloropus ,113.2670689,34.90507921,2025/10/16,荥阳王村,4,鹤形目, 秧鸡科,黑水鸡,
Gallinula chloropus ,113.2670689,34.90507921,2025/11/30,荥阳王村,60,鹤形目, 秧鸡科,黑水鸡,
Garrulax perspicillatus,113.2670689,34.90507921,2025/11/30,荥阳王村,1,雀形目,噪鹛科,黑脸噪鹛,
Lanius cristatus ,113.2670689,34.90507921,2025/10/16,荥阳王村,2,雀形目,伯劳科,红尾伯劳,
Lanius schach ,113.2670689,34.90507921,2025/11/30,荥阳王村,1,雀形目,伯劳科,棕背伯劳,
Lanius sphenocercus ,113.2670689,34.90507921,2025/10/16,荥阳王村,1,雀形目,伯劳科,楔尾伯劳,
Lanius sphenocercus ,113.2670689,34.90507921,2025/11/30,荥阳王村,1,雀形目,伯劳科,楔尾伯劳,
Milvus migrans,113.2670689,34.90507921,2025/10/16,荥阳王村,1,鹰形目,鹰科,黑鸢,Ⅱ
Pandion haliaetus,113.2670689,34.90507921,2025/10/16,荥阳王村,1,鹰形目,鹗科,鹗,Ⅱ
Paradoxornis webbianus ,113.2670689,34.90507921,2025/10/16,荥阳王村,36,雀形目,莺鹛科,棕头鸦雀,
Paradoxornis webbianus ,113.2670689,34.90507921,2025/11/30,荥阳王村,10,雀形目,莺鹛科,棕头鸦雀,
Passer montanus ,113.2670689,34.90507921,2025/11/30,荥阳王村,60,雀形目,雀科,麻雀,
"Phalacrocorax carbo 
",113.2670689,34.90507921,2025/10/16,荥阳王村,1,鲣鸟目,鸬鹚科,普通鸬鹚,
"Phalacrocorax carbo 
",113.2670689,34.90507921,2025/11/30,荥阳王村,10,鲣鸟目,鸬鹚科,普通鸬鹚,
Phasianus colchicus ,113.2670689,34.90507921,2025/10/16,荥阳王村,7,鸡形目,雉科,环颈雉,
Phasianus colchicus ,113.2670689,34.90507921,2025/11/30,荥阳王村,16,鸡形目,雉科,环颈雉,
Phoenicurus auroreus ,113.2670689,34.90507921,2025/10/16,荥阳王村,11,雀形目,鹟科,北红尾鸲,
Phylloscopus inornatus,113.2670689,34.90507921,2025/10/16,荥阳王村,30,雀形目,柳莺科,黄眉柳莺,
Pica pica ,113.2670689,34.90507921,2025/10/16,荥阳王村,30,雀形目,鸦科,喜鹊,
Pica pica ,113.2670689,34.90507921,2025/11/30,荥阳王村,30,雀形目,鸦科,喜鹊,
Platalea leucorodia,113.2670689,34.90507921,2025/10/16,荥阳王村,44,鹈形目,鹮科,白琵鹭,Ⅱ
Podiceps ruficollis,113.2670689,34.90507921,2025/11/30,荥阳王村,1,䴙䴘目,䴙䴘科,小,
Saxicola stejnegeri,113.2670689,34.90507921,2025/10/16,荥阳王村,4,雀形目,鹟科,东亚石䳭,
Streptopelia chinensis,113.2670689,34.90507921,2025/11/30,荥阳王村,2,鸽形目,鸠鸽科,珠颈斑鸠,
Streptopelia orientalis ,113.2670689,34.90507921,2025/11/30,荥阳王村,2,鸽形目,鸠鸽科,山斑鸠,
Sturnus cineraceus,113.2670689,34.90507921,2025/11/30,荥阳王村,6,雀形目,椋鸟科,灰椋鸟,
Tadorna tadorna,113.2670689,34.90507921,2025/11/30,荥阳王村,3,雁形目,鸭科,翘鼻麻鸭,
Tarsiger cyanurus ,113.2670689,34.90507921,2025/11/30,荥阳王村,1,雀形目,鹟科,红胁蓝尾鸲,
Turdus naumanni,113.2670689,34.90507921,2025/11/30,荥阳王村,1,雀形目,鸫科,红尾斑鸫,
Upupa epops ,113.2670689,34.90507921,2025/11/30,荥阳王村,1,犀鸟目,戴胜科,戴胜,
Vanellus vanellus,113.2670689,34.90507921,2025/11/30,荥阳王村,50,鸻形目,鸻科,凤头麦鸡,
Anas platyrhynchos,113.4712093,34.95505104,2025/2/8,桃花峪,20,雁形目,鸭科,绿头鸭,
Anas poecilorhyncha ,113.4712093,34.95505104,2025/2/8,桃花峪,20,雁形目,鸭科,斑嘴鸭,
Buteo hemilasius,113.4712093,34.95505104,2025/2/8,桃花峪,1,鹰形目,鹰科,大鵟,Ⅱ
Larus vegae,113.4712093,34.95505104,2025/2/8,桃花峪,2,鸻形目,  鸥科,西伯利亚银鸥,
"Phalacrocorax carbo 
",113.4712093,34.95505104,2025/2/8,桃花峪,30,鲣鸟目,鸬鹚科,普通鸬鹚,
Accipiter nisus,113.6066365,34.93053879,2025/2/14,南裹头,1,鹰形目,鹰科,雀鹰,Ⅱ
Accipiter nisus,113.6066365,34.93053879,2025/2/23,南裹头,2,鹰形目,鹰科,雀鹰,Ⅱ
Accipiter nisus,113.6066365,34.93053879,2025/3/7,南裹头,1,鹰形目,鹰科,雀鹰,Ⅱ
Accipiter nisus,113.6066365,34.93053879,2025/11/14,南裹头,1,鹰形目,鹰科,雀鹰,Ⅱ
Acrocephalus bistrigiceps,113.6066365,34.93053879,2025/5/25,南裹头,1,雀形目,苇莺科,黑眉苇莺,
Acrocephalus orientalis,113.6066365,34.93053879,2025/5/25,南裹头,1,雀形目,苇莺科,东方大苇莺,
Actitis hypoleucos,113.6066365,34.93053879,2025/10/4,南裹头,1,鸻形目,鹬科,矶鹬,
Aegithalos caudatus ,113.6066365,34.93053879,2025/2/23,南裹头,50,雀形目,长尾山雀科,银喉长尾山雀,
Aegithalos caudatus ,113.6066365,34.93053879,2025/2/25,南裹头,22,雀形目,长尾山雀科,银喉长尾山雀,
Aegithalos caudatus ,113.6066365,34.93053879,2025/3/7,南裹头,6,雀形目,长尾山雀科,银喉长尾山雀,
Aegithalos caudatus ,113.6066365,34.93053879,2025/10/4,南裹头,1,雀形目,长尾山雀科,银喉长尾山雀,
Alcedo atthis ,113.6066365,34.93053879,2025/2/25,南裹头,1,佛法僧目,翠鸟科,普通翠鸟,
Alcedo atthis ,113.6066365,34.93053879,2025/5/25,南裹头,1,佛法僧目,翠鸟科,普通翠鸟,
Anas crecca ,113.6066365,34.93053879,2025/2/23,南裹头,6,雁形目,鸭科,绿翅鸭,
Anas crecca ,113.6066365,34.93053879,2025/2/25,南裹头,5,雁形目,鸭科,绿翅鸭,
Anas platyrhynchos,113.6066365,34.93053879,2025/2/14,南裹头,6,雁形目,鸭科,绿头鸭,
Anas platyrhynchos,113.6066365,34.93053879,2025/2/23,南裹头,2,雁形目,鸭科,绿头鸭,
Anas platyrhynchos,113.6066365,34.93053879,2025/3/7,南裹头,2,雁形目,鸭科,绿头鸭,
Anas platyrhynchos,113.6066365,34.93053879,2025/5/25,南裹头,10,雁形目,鸭科,绿头鸭,
Anas platyrhynchos,113.6066365,34.93053879,2025/10/4,南裹头,1,雁形目,鸭科,绿头鸭,
Anas poecilorhyncha ,113.6066365,34.93053879,2025/2/14,南裹头,10,雁形目,鸭科,斑嘴鸭,
Anas poecilorhyncha ,113.6066365,34.93053879,2025/2/25,南裹头,12,雁形目,鸭科,斑嘴鸭,
Anas poecilorhyncha ,113.6066365,34.93053879,2025/11/14,南裹头,20,雁形目,鸭科,斑嘴鸭,
Anser cygnoides,113.6066365,34.93053879,2025/3/7,南裹头,8,雁形目,鸭科,鸿雁,Ⅱ
Anser serrirostris,113.6066365,34.93053879,2025/11/14,南裹头,96,雁形目,鸭科,短嘴豆雁,
Anthus richardi,113.6066365,34.93053879,2025/2/25,南裹头,30,雀形目,鹡鸰科,田鹨（理氏鹨）,
Anthus richardi,113.6066365,34.93053879,2025/10/4,南裹头,1,雀形目,鹡鸰科,田鹨（理氏鹨）,
Ardea alba ,113.6066365,34.93053879,2025/2/23,南裹头,6,鹈形目,鹭科,大白鹭,
Ardea alba ,113.6066365,34.93053879,2025/3/7,南裹头,20,鹈形目,鹭科,大白鹭,
Ardea cinerea ,113.6066365,34.93053879,2025/2/14,南裹头,6,鹈形目,鹭科,苍鹭,
Ardea cinerea ,113.6066365,34.93053879,2025/2/23,南裹头,10,鹈形目,鹭科,苍鹭,
Ardea cinerea ,113.6066365,34.93053879,2025/2/25,南裹头,8,鹈形目,鹭科,苍鹭,
Ardea cinerea ,113.6066365,34.93053879,2025/11/14,南裹头,1,鹈形目,鹭科,苍鹭,
Ardeola bacchus ,113.6066365,34.93053879,2025/5/25,南裹头,3,鹈形目,鹭科,池鹭,
Ardeola bacchus ,113.6066365,34.93053879,2025/10/4,南裹头,1,鹈形目,鹭科,池鹭,
Ardeola bacchus ,113.6066365,34.93053879,2025/10/23,南裹头,1,鹈形目,鹭科,池鹭,
Athene noctua,113.6066365,34.93053879,2025/2/14,南裹头,1,鸮形目,鸱鸮科,纵纹腹小鸮,Ⅱ
Athene noctua,113.6066365,34.93053879,2025/2/23,南裹头,1,鸮形目,鸱鸮科,纵纹腹小鸮,Ⅱ
Buteo buteo ,113.6066365,34.93053879,2025/2/14,南裹头,5,鹰形目,鹰科,普通鵟,Ⅱ
Buteo buteo ,113.6066365,34.93053879,2025/2/23,南裹头,3,鹰形目,鹰科,普通鵟,Ⅱ
Buteo buteo ,113.6066365,34.93053879,2025/2/25,南裹头,1,鹰形目,鹰科,普通鵟,Ⅱ
Buteo buteo ,113.6066365,34.93053879,2025/3/7,南裹头,2,鹰形目,鹰科,普通鵟,Ⅱ
Carduelis sinica ,113.6066365,34.93053879,2025/2/23,南裹头,10,雀形目,燕雀科,金翅雀,
Carduelis sinica ,113.6066365,34.93053879,2025/5/25,南裹头,10,雀形目,燕雀科,金翅雀,
Ceryle rudis ,113.6066365,34.93053879,2025/2/14,南裹头,2,佛法僧目,翠鸟科,斑鱼狗,
Ceryle rudis ,113.6066365,34.93053879,2025/2/23,南裹头,2,佛法僧目,翠鸟科,斑鱼狗,
Ceryle rudis ,113.6066365,34.93053879,2025/5/25,南裹头,1,佛法僧目,翠鸟科,斑鱼狗,
Charadrius dubius ,113.6066365,34.93053879,2025/3/7,南裹头,1,鸻形目,鸻科,金眶鸻,
Circus  cyaneus  ,113.6066365,34.93053879,2025/3/7,南裹头,1,鹰形目,鹰科,白尾鹞,Ⅱ
Circus  cyaneus  ,113.6066365,34.93053879,2025/11/14,南裹头,1,鹰形目,鹰科,白尾鹞,Ⅱ
Circus spilonotus,113.6066365,34.93053879,2025/10/4,南裹头,1,鹰形目,鹰科,白腹鹞,Ⅱ
Columba rupestris,113.6066365,34.93053879,2025/3/7,南裹头,2,鸽形目,鸠鸽科,岩鸽,
Corvus corone ,113.6066365,34.93053879,2025/2/14,南裹头,10,雀形目,鸦科,小嘴乌鸦,
Corvus corone ,113.6066365,34.93053879,2025/2/25,南裹头,38,雀形目,鸦科,小嘴乌鸦,
Corvus corone ,113.6066365,34.93053879,2025/3/7,南裹头,20,雀形目,鸦科,小嘴乌鸦,
Corvus dauuricus,113.6066365,34.93053879,2025/2/14,南裹头,10,雀形目,鸦科,达乌里寒鸦,
Corvus dauuricus,113.6066365,34.93053879,2025/2/25,南裹头,2,雀形目,鸦科,达乌里寒鸦,
Corvus frugilegus ,113.6066365,34.93053879,2025/2/23,南裹头,1,雀形目,鸦科,秃鼻乌鸦,
Cuculus  canorus ,113.6066365,34.93053879,2025/5/25,南裹头,1,鹃形目  ,杜鹃科,大杜鹃,
Cyanopica cyanus ,113.6066365,34.93053879,2025/2/14,南裹头,20,雀形目,鸦科,灰喜鹊,
Cyanopica cyanus ,113.6066365,34.93053879,2025/2/23,南裹头,20,雀形目,鸦科,灰喜鹊,
Cyanopica cyanus ,113.6066365,34.93053879,2025/2/25,南裹头,120,雀形目,鸦科,灰喜鹊,
Cyanopica cyanus ,113.6066365,34.93053879,2025/3/7,南裹头,50,雀形目,鸦科,灰喜鹊,
Cyanopica cyanus ,113.6066365,34.93053879,2025/5/25,南裹头,10,雀形目,鸦科,灰喜鹊,
Cyanopica cyanus ,113.6066365,34.93053879,2025/10/4,南裹头,1,雀形目,鸦科,灰喜鹊,
Cyanopica cyanus ,113.6066365,34.93053879,2025/10/23,南裹头,1,雀形目,鸦科,灰喜鹊,
Cygnus columbianus,113.6066365,34.93053879,2025/3/7,南裹头,100,雁形目,鸭科,小天鹅,Ⅱ
Cygnus cygnus,113.6066365,34.93053879,2025/3/7,南裹头,50,雁形目,鸭科,大天鹅,Ⅱ
Dendrocopos canicapillus ,113.6066365,34.93053879,2025/2/14,南裹头,1,啄木鸟目,啄木鸟科,星头啄木鸟,
Dendrocopos canicapillus ,113.6066365,34.93053879,2025/2/23,南裹头,1,啄木鸟目,啄木鸟科,星头啄木鸟,
Dendrocopos canicapillus ,113.6066365,34.93053879,2025/3/7,南裹头,2,啄木鸟目,啄木鸟科,星头啄木鸟,
Dendrocopos major ,113.6066365,34.93053879,2025/2/14,南裹头,1,啄木鸟目,啄木鸟科,大斑啄木鸟,
Dendrocopos major ,113.6066365,34.93053879,2025/2/23,南裹头,2,啄木鸟目,啄木鸟科,大斑啄木鸟,
Dendrocopos major ,113.6066365,34.93053879,2025/3/7,南裹头,1,啄木鸟目,啄木鸟科,大斑啄木鸟,
Dendrocopos major ,113.6066365,34.93053879,2025/10/23,南裹头,1,啄木鸟目,啄木鸟科,大斑啄木鸟,
Dicrurus macrocercus ,113.6066365,34.93053879,2025/5/25,南裹头,4,雀形目,卷尾科,黑卷尾,
Dicrurus macrocercus ,113.6066365,34.93053879,2025/10/4,南裹头,1,雀形目,卷尾科,黑卷尾,
Egretta garzetta ,113.6066365,34.93053879,2025/2/14,南裹头,2,鹈形目,鹭科,白鹭,
Egretta garzetta ,113.6066365,34.93053879,2025/2/23,南裹头,2,鹈形目,鹭科,白鹭,
Egretta garzetta ,113.6066365,34.93053879,2025/2/25,南裹头,3,鹈形目,鹭科,白鹭,
Egretta garzetta ,113.6066365,34.93053879,2025/3/7,南裹头,8,鹈形目,鹭科,白鹭,
Egretta garzetta ,113.6066365,34.93053879,2025/5/25,南裹头,3,鹈形目,鹭科,白鹭,
Egretta garzetta ,113.6066365,34.93053879,2025/10/4,南裹头,1,鹈形目,鹭科,白鹭,
Emberiza elegans ,113.6066365,34.93053879,2025/2/23,南裹头,6,雀形目,鹀科,黄喉鹀,
Emberiza elegans ,113.6066365,34.93053879,2025/2/25,南裹头,2,雀形目,鹀科,黄喉鹀,
Emberiza elegans ,113.6066365,34.93053879,2025/3/7,南裹头,2,雀形目,鹀科,黄喉鹀,
Emberiza pallasi ,113.6066365,34.93053879,2025/2/23,南裹头,2,雀形目,鹀科,苇鹀,
Emberiza pusilla,113.6066365,34.93053879,2025/2/14,南裹头,4,雀形目,鹀科,小鹀,
Emberiza pusilla,113.6066365,34.93053879,2025/2/23,南裹头,10,雀形目,鹀科,小鹀,
Emberiza pusilla,113.6066365,34.93053879,2025/2/25,南裹头,2,雀形目,鹀科,小鹀,
Emberiza pusilla,113.6066365,34.93053879,2025/3/7,南裹头,20,雀形目,鹀科,小鹀,
Emberiza rustica ,113.6066365,34.93053879,2025/2/14,南裹头,1,雀形目,鹀科,田鹀,
Emberiza spodocephala ,113.6066365,34.93053879,2025/2/23,南裹头,2,雀形目,鹀科,灰头鹀,
Emberiza spodocephala ,113.6066365,34.93053879,2025/2/25,南裹头,5,雀形目,鹀科,灰头鹀,
Emberiza spodocephala ,113.6066365,34.93053879,2025/3/7,南裹头,6,雀形目,鹀科,灰头鹀,
Emberiza spodocephala ,113.6066365,34.93053879,2025/10/23,南裹头,1,雀形目,鹀科,灰头鹀,
Eophona migratoria ,113.6066365,34.93053879,2025/2/23,南裹头,10,雀形目,燕雀科,黑尾蜡嘴雀,
Eophona migratoria ,113.6066365,34.93053879,2025/5/25,南裹头,3,雀形目,燕雀科,黑尾蜡嘴雀,
Eudynamys scolopacea ,113.6066365,34.93053879,2025/5/25,南裹头,1,鹃形目  ,杜鹃科,噪鹃,
Falco peregrinus ,113.6066365,34.93053879,2025/3/7,南裹头,1,隼形目,  隼科,游隼,Ⅱ
Falco tinnunculus ,113.6066365,34.93053879,2025/2/14,南裹头,3,隼形目,  隼科,红隼,Ⅱ
Falco tinnunculus ,113.6066365,34.93053879,2025/2/23,南裹头,1,隼形目,  隼科,红隼,Ⅱ
Fringilla montifringilla,113.6066365,34.93053879,2025/2/14,南裹头,6,雀形目,燕雀科,燕雀,
Fringilla montifringilla,113.6066365,34.93053879,2025/2/23,南裹头,20,雀形目,燕雀科,燕雀,
Fringilla montifringilla,113.6066365,34.93053879,2025/2/25,南裹头,25,雀形目,燕雀科,燕雀,
Fulica atra ,113.6066365,34.93053879,2025/2/14,南裹头,6,鹤形目, 秧鸡科,骨顶鸡,
Fulica atra ,113.6066365,34.93053879,2025/2/23,南裹头,10,鹤形目, 秧鸡科,骨顶鸡,
Fulica atra ,113.6066365,34.93053879,2025/2/25,南裹头,9,鹤形目, 秧鸡科,骨顶鸡,
Fulica atra ,113.6066365,34.93053879,2025/5/25,南裹头,4,鹤形目, 秧鸡科,骨顶鸡,
Fulica atra ,113.6066365,34.93053879,2025/10/23,南裹头,1,鹤形目, 秧鸡科,骨顶鸡,
Gallinula chloropus ,113.6066365,34.93053879,2025/2/14,南裹头,2,鹤形目, 秧鸡科,黑水鸡,
Gallinula chloropus ,113.6066365,34.93053879,2025/2/23,南裹头,8,鹤形目, 秧鸡科,黑水鸡,
Gallinula chloropus ,113.6066365,34.93053879,2025/2/25,南裹头,6,鹤形目, 秧鸡科,黑水鸡,
Gallinula chloropus ,113.6066365,34.93053879,2025/3/7,南裹头,8,鹤形目, 秧鸡科,黑水鸡,
Gallinula chloropus ,113.6066365,34.93053879,2025/5/25,南裹头,5,鹤形目, 秧鸡科,黑水鸡,
Gallinula chloropus ,113.6066365,34.93053879,2025/10/23,南裹头,1,鹤形目, 秧鸡科,黑水鸡,
